date,country_name,party_name,voting_intention
2026-03-27,Great Britain,Labour,18.44
2026-03-27,Great Britain,Liberal Democrats,12.41
2026-03-27,Great Britain,Plaid Cymru,0.96
2026-03-27,Great Britain,Reform UK,26.49
2026-03-27,Great Britain,SNP,2.7
2026-03-26,Great Britain,Other,4.69
2026-03-26,Great Britain,Conservative,17.9
2026-03-26,Great Britain,Green Party,15.87
2026-03-26,Great Britain,Labour,18.6
2026-03-26,Great Britain,Liberal Democrats,12.42
2026-03-26,Great Britain,Plaid Cymru,0.96
2026-03-26,Great Britain,Reform UK,26.93
2026-03-26,Great Britain,SNP,2.7
2026-03-23,Great Britain,Other,4.91
2026-03-23,Great Britain,Conservative,17.9
2026-03-23,Great Britain,Green Party,16.01
2026-03-23,Great Britain,Labour,18.31
2026-03-23,Great Britain,Liberal Democrats,12.42
2026-03-23,Great Britain,Plaid Cymru,0.96
2026-03-23,Great Britain,Reform UK,26.79
2026-03-23,Great Britain,SNP,2.77
2026-03-22,Great Britain,Other,4.86
2026-03-22,Great Britain,Conservative,18.03
2026-03-22,Great Britain,Green Party,15.77
2026-03-22,Great Britain,Labour,18.46
2026-03-22,Great Britain,Liberal Democrats,12.42
2026-03-22,Great Britain,Plaid Cymru,1.0
2026-03-22,Great Britain,Reform UK,26.88
2026-03-22,Great Britain,SNP,2.74
2026-03-20,Great Britain,Other,5.07
2026-03-20,Great Britain,Conservative,17.74
2026-03-20,Great Britain,Green Party,16.19
2026-03-20,Great Britain,Labour,18.24
2026-03-20,Great Britain,Liberal Democrats,12.14
2026-03-20,Great Britain,Plaid Cymru,1.0
2026-03-20,Great Britain,Reform UK,26.95
2026-03-20,Great Britain,SNP,2.74
2026-03-19,Wales,Other,1.85
2026-03-19,Wales,Conservative,15.8
2026-03-19,Wales,Green Party,6.77
2026-03-19,Wales,Labour,32.3
2026-03-19,Wales,Liberal Democrats,6.16
2026-03-19,Wales,Plaid Cymru,17.18
2026-03-19,Wales,Reform UK,19.93
2026-03-18,Great Britain,Other,4.86
2026-03-18,Great Britain,Conservative,18.04
2026-03-18,Great Britain,Green Party,15.99
2026-03-18,Great Britain,Labour,18.33
2026-03-18,Great Britain,Liberal Democrats,12.08
2026-03-18,Great Britain,Plaid Cymru,1.0
2026-03-18,Great Britain,Reform UK,27.04
2026-03-18,Great Britain,SNP,2.74
2026-03-16,Great Britain,Other,4.64
2026-03-16,Great Britain,Conservative,18.11
2026-03-16,Great Britain,Green Party,15.85
2026-03-16,Great Britain,Labour,18.55
2026-03-16,Great Britain,Liberal Democrats,12.22
2026-03-16,Great Britain,Plaid Cymru,1.02
2026-03-16,Great Britain,Reform UK,26.97
2026-03-16,Great Britain,SNP,2.74
2026-03-12,Great Britain,Other,4.7
2026-03-12,Great Britain,Conservative,18.11
2026-03-12,Great Britain,Green Party,15.42
2026-03-12,Great Britain,Labour,18.7
2026-03-12,Great Britain,Liberal Democrats,12.16
2026-03-12,Great Britain,Reform UK,27.23
2026-03-12,Great Britain,SNP,2.74
2026-03-11,Great Britain,Other,4.69
2026-03-11,Great Britain,Conservative,18.17
2026-03-11,Great Britain,Green Party,15.48
2026-03-11,Great Britain,Labour,18.62
2026-03-11,Great Britain,Liberal Democrats,11.93
2026-03-11,Great Britain,Plaid Cymru,1.01
2026-03-11,Great Britain,Reform UK,27.36
2026-03-11,Great Britain,SNP,2.73
2026-03-10,Great Britain,Other,4.47
2026-03-10,Great Britain,Conservative,18.45
2026-03-10,Great Britain,Green Party,14.86
2026-03-10,Great Britain,Labour,18.91
2026-03-10,Great Britain,Liberal Democrats,12.09
